; GeoPIXE tabulated mass attenuation coefficients.
; Chantler FFAST photo-absorption, via the xraydb package.
; Source: NIST FFAST, C.T. Chantler et al.
; Photoabsorption only; excludes coherent/incoherent scattering.
; Unlike XCOM and Scofield this set extends below 1 keV, which
; is the whole light-element range. Requests outside the
; per-element Range must be refused, not extrapolated.
;
Dataset    FFAST
Reference  C.T. Chantler, J. Phys. Chem. Ref. Data 24 (1995) 71; 29 (2000) 597; NIST FFAST
Quantity   photoelectric mass attenuation coefficient
Units      keV cm2/g
Elements   92
;
; Edge discontinuities are encoded as repeated abscissae:
; two rows with near-identical energy bracket a jump. Never
; interpolate across such a pair.
;
Element    H     1     1.007800
Range      1.005907E-02 2.998741E+01
Npoints    807
Data
  4.683888E-01  8.518200E+01
  4.730727E-01  8.245800E+01
  4.778034E-01  7.982000E+01
  4.825814E-01  7.726500E+01
  4.874072E-01  7.479200E+01
  4.922813E-01  7.239600E+01
  4.972041E-01  7.007700E+01
  5.021761E-01  6.783100E+01
  5.071979E-01  6.565600E+01
  5.122699E-01  6.355000E+01
  5.173926E-01  6.151100E+01
  5.225665E-01  5.953600E+01
  5.277921E-01  5.762500E+01
  5.330701E-01  5.577400E+01
  5.384007E-01  5.398200E+01
  5.437848E-01  5.224600E+01
  5.492226E-01  5.056600E+01
  5.547148E-01  4.894000E+01
  5.602620E-01  4.736500E+01
  5.658646E-01  4.584000E+01
  5.715232E-01  4.436400E+01
  5.772384E-01  4.293500E+01
  5.830108E-01  4.155100E+01
  5.888409E-01  4.021200E+01
  5.947293E-01  3.891500E+01
  6.006766E-01  3.766000E+01
  6.066834E-01  3.644500E+01
  6.127502E-01  3.526800E+01
  6.188777E-01  3.412900E+01
  6.250665E-01  3.302700E+01
  6.313171E-01  3.196000E+01
  6.376303E-01  3.092700E+01
  6.440066E-01  2.992700E+01
  6.504467E-01  2.895900E+01
  6.569511E-01  2.802200E+01
  6.635206E-01  2.711500E+01
  6.701558E-01  2.623700E+01
  6.768574E-01  2.538700E+01
  6.836259E-01  2.456400E+01
  6.904622E-01  2.376800E+01
  6.973668E-01  2.299800E+01
  7.043405E-01  2.225200E+01
  7.113839E-01  2.153000E+01
  7.184977E-01  2.083100E+01
  7.256827E-01  2.015500E+01
  7.329395E-01  1.950000E+01
  7.402689E-01  1.886700E+01
  7.476716E-01  1.825400E+01
  7.551483E-01  1.766100E+01
  7.626997E-01  1.708600E+01
  7.703267E-01  1.653100E+01
  7.780300E-01  1.599300E+01
  7.858103E-01  1.547200E+01
  7.936684E-01  1.496900E+01
  8.016051E-01  1.448100E+01
  8.096211E-01  1.401000E+01
  8.177173E-01  1.355300E+01
  8.258945E-01  1.311100E+01
  8.341534E-01  1.268400E+01
  8.424949E-01  1.227000E+01
  8.509199E-01  1.187000E+01
  8.594291E-01  1.148300E+01
  8.680233E-01  1.110800E+01
  8.767036E-01  1.074500E+01
  8.854706E-01  1.039400E+01
  8.943253E-01  1.005500E+01
  9.032685E-01  9.726000E+00
  9.123012E-01  9.408000E+00
  9.214242E-01  9.100400E+00
  9.306385E-01  8.802700E+00
  9.399448E-01  8.514700E+00
  9.493443E-01  8.236100E+00
  9.588377E-01  7.966400E+00
  9.684261E-01  7.705600E+00
  9.781103E-01  7.453200E+00
  9.878914E-01  7.209000E+00
  9.977703E-01  6.972700E+00
  1.007748E+00  6.744100E+00
  1.017826E+00  6.523000E+00
  1.028004E+00  6.309000E+00
  1.038284E+00  6.102000E+00
  1.048667E+00  5.901800E+00
  1.059153E+00  5.708100E+00
  1.069745E+00  5.520600E+00
  1.080442E+00  5.339300E+00
  1.091247E+00  5.163900E+00
  1.102159E+00  4.994200E+00
  1.113181E+00  4.830000E+00
  1.124312E+00  4.671200E+00
  1.135556E+00  4.517600E+00
  1.146911E+00  4.369000E+00
  1.158380E+00  4.225200E+00
  1.169964E+00  4.086200E+00
  1.181664E+00  3.951700E+00
  1.193480E+00  3.821500E+00
  1.205415E+00  3.695700E+00
  1.217469E+00  3.573900E+00
  1.229644E+00  3.456100E+00
  1.241940E+00  3.342200E+00
  1.254360E+00  3.232000E+00
  1.266903E+00  3.125400E+00
  1.279572E+00  3.022300E+00
  1.292368E+00  2.922600E+00
  1.305292E+00  2.826100E+00
  1.318345E+00  2.732900E+00
  1.331528E+00  2.642600E+00
  1.344843E+00  2.555300E+00
  1.358292E+00  2.470900E+00
  1.371875E+00  2.389300E+00
  1.385593E+00  2.310300E+00
  1.399449E+00  2.233900E+00
  1.413444E+00  2.160100E+00
  1.427578E+00  2.088600E+00
  1.441854E+00  2.019500E+00
  1.456272E+00  1.952700E+00
  1.470835E+00  1.888100E+00
  1.485543E+00  1.825600E+00
  1.500399E+00  1.765100E+00
  1.515403E+00  1.706700E+00
  1.530557E+00  1.650200E+00
  1.545862E+00  1.595500E+00
  1.561321E+00  1.542600E+00
  1.576934E+00  1.491500E+00
  1.592704E+00  1.442000E+00
  1.608631E+00  1.394200E+00
  1.624717E+00  1.348000E+00
  1.640964E+00  1.303200E+00
  1.657374E+00  1.260000E+00
  1.673947E+00  1.218200E+00
  1.690687E+00  1.177700E+00
  1.707594E+00  1.138600E+00
  1.724670E+00  1.100800E+00
  1.741916E+00  1.064300E+00
  1.759335E+00  1.028900E+00
  1.776929E+00  9.947100E-01
  1.794698E+00  9.616500E-01
  1.812645E+00  9.296800E-01
  1.830771E+00  8.987700E-01
  1.849079E+00  8.688800E-01
  1.867570E+00  8.399800E-01
  1.886246E+00  8.120400E-01
  1.905108E+00  7.850100E-01
  1.924159E+00  7.588900E-01
  1.943401E+00  7.336200E-01
  1.962835E+00  7.092000E-01
  1.982463E+00  6.855800E-01
  2.002288E+00  6.627500E-01
  2.022311E+00  6.406700E-01
  2.042533E+00  6.193200E-01
  2.062959E+00  5.986800E-01
  2.083588E+00  5.787300E-01
  2.104424E+00  5.594300E-01
  2.125469E+00  5.407800E-01
  2.146723E+00  5.227400E-01
